Player,DOB,player_key,Team,Position,Games played,Entering NCAA Season,Height Display,Weight Display,Active hand,Nationality,Category,Metric,Per-game value,NCAA Avg,Percentile,Season,Season GP,Season Points,Season Goals,Season Assists,Season PIM,4th/5th Year Avg,4th/5th Year Percentile
William Whitelaw,2005-02-05,William Whitelaw|2005-02-05,Western Michigan,F,40,4,"5'9""",174,Right,,Offense,Goals,0.52,0.2086551724137931,96.83908045977012,2025-26,40,36.0,21.0,15.0,,0.22078717201166181,96.35568513119533
Matthew DiMarsico,2004-01-07,Matthew DiMarsico|2004-01-07,Penn State,F,36,4,"6'0""",181,Left,,Offense,Goals,0.5,0.2086551724137931,96.0919540229885,2025-26,36,41.0,18.0,23.0,,0.22078717201166181,95.48104956268222
Joey Muldowney,2004-06-05,Joey Muldowney|2004-06-05,UConn,F,34,4,"5'9""",161,Right,,Offense,Goals,0.5,0.2086551724137931,96.0919540229885,2025-26,34,29.0,17.0,12.0,,0.22078717201166181,95.48104956268222
Jayden Perron,2005-01-11,Jayden Perron|2005-01-11,Michigan,F,42,4,"5'9""",163,Right,,Offense,Goals,0.5,0.2086551724137931,96.0919540229885,2025-26,42,48.0,21.0,27.0,,0.22078717201166181,95.48104956268222
Quinn Finley,2004-08-08,Quinn Finley|2004-08-08,Wisconsin,F,38,4,"6'0""",179,Left,,Offense,Goals,0.5,0.2086551724137931,96.0919540229885,2025-26,38,34.0,19.0,15.0,,0.22078717201166181,95.48104956268222
Jack Musa,2003-07-22,Jack Musa|2003-07-22,UMass Minuteme,F,34,4,"5'10""",172,Left,,Offense,Goals,0.5,0.2086551724137931,96.0919540229885,2025-26,34,36.0,17.0,19.0,,0.22078717201166181,95.48104956268222
Jacob Black,2002-03-05,Jacob Black|2002-03-05,Bentley,F,41,4,"5'0""",181,Right,,Offense,Goals,0.49,0.2086551724137931,95.57471264367815,2025-26,41,43.0,20.0,23.0,,0.22078717201166181,94.60641399416909
Alton McDermott,2001-06-04,Alton McDermott|2001-06-04,Canisius,F,17,5,"5'10""",181,Right,,Offense,Goals,0.47,0.2086551724137931,95.11494252873564,2025-26,17,14.0,8.0,6.0,,0.22078717201166181,94.31486880466473
Evan Werner,2003-02-13,Evan Werner|2003-02-13,Notre Dame,F,37,4,"5'8""",174,Right,,Offense,Goals,0.46,0.2086551724137931,94.59770114942528,2025-26,37,33.0,17.0,16.0,,0.22078717201166181,93.87755102040816
Alex Gaffney,2002-06-25,Alex Gaffney|2002-06-25,St. Thomas,F,37,5,"5'9""",176,Left,,Offense,Goals,0.46,0.2086551724137931,94.59770114942528,2025-26,37,38.0,17.0,21.0,,0.22078717201166181,93.87755102040816
Caiden Gault,2002-04-16,Caiden Gault|2002-04-16,Northern Michigan,F,33,5,"6'1""",179,Left,,Offense,Goals,0.45,0.2086551724137931,94.08045977011494,2025-26,33,17.0,15.0,2.0,,0.22078717201166181,93.14868804664724
Matthew Romer,2002-09-01,Matthew Romer|2002-09-01,Stonehill,F,38,4,"5'11""",179,Right,,Offense,Goals,0.45,0.2086551724137931,94.08045977011494,2025-26,38,24.0,17.0,7.0,,0.22078717201166181,93.14868804664724
Zaccharya Wisdom,2004-04-29,Zaccharya Wisdom|2004-04-29,Western Michigan,F,40,4,"6'0""",174,Right,,Offense,Goals,0.45,0.2086551724137931,94.08045977011494,2025-26,40,30.0,18.0,12.0,,0.22078717201166181,93.14868804664724
Brett Rylance,2001-08-03,Brett Rylance|2001-08-03,Long Island,F,34,5,"5'9""",170,Left,,Offense,Goals,0.44,0.2086551724137931,93.39080459770116,2025-26,34,31.0,15.0,16.0,,0.22078717201166181,92.27405247813411
Michael Citara,2002-04-22,Michael Citara|2002-04-22,Alaska,F,34,4,"5'10""",161,Right,,Offense,Goals,0.44,0.2086551724137931,93.39080459770116,2025-26,34,32.0,15.0,17.0,,0.22078717201166181,92.27405247813411
Dillan Bentley,2001-03-31,Dillan Bentley|2001-03-31,UMass-Lowell,F,34,5,"6'4""",194,Right,,Offense,Goals,0.44,0.2086551724137931,93.39080459770116,2025-26,34,26.0,15.0,11.0,,0.22078717201166181,92.27405247813411
Ben Strinden,2002-06-04,Ben Strinden|2002-06-04,North Dakota,F,40,5,"6'0""",198,Right,,Offense,Goals,0.43,0.2086551724137931,92.70114942528735,2025-26,40,38.0,17.0,21.0,,0.22078717201166181,91.399416909621
Samuel Harris,2003-10-14,Samuel Harris|2003-10-14,Denver,F,44,4,"5'11""",185,Left,,Offense,Goals,0.43,0.2086551724137931,92.70114942528735,2025-26,44,39.0,19.0,20.0,,0.22078717201166181,91.399416909621
Noah Serdachny,2003-03-09,Noah Serdachny|2003-03-09,Long Island,F,37,4,"6'1""",190,Right,,Offense,Goals,0.43,0.2086551724137931,92.70114942528735,2025-26,37,33.0,16.0,17.0,,0.22078717201166181,91.399416909621
Cruz Lucius,2004-04-05,Cruz Lucius|2004-04-05,Arizona State,F,36,5,"6'0""",179,Right,,Offense,Goals,0.42,0.2086551724137931,92.29885057471265,2025-26,36,46.0,15.0,31.0,,0.22078717201166181,90.67055393586006
Jonathan Castagna,2005-04-20,Jonathan Castagna|2005-04-20,Cornell,F,36,4,"6'2""",203,Left,,Offense,Goals,0.42,0.2086551724137931,92.29885057471265,2025-26,36,35.0,15.0,20.0,,0.22078717201166181,90.67055393586006
Matteo Giampa,2003-09-03,Matteo Giampa|2003-09-03,Miami,F,29,4,"6'0""",176,Right,,Offense,Goals,0.41,0.2086551724137931,91.7816091954023,2025-26,29,24.0,12.0,12.0,,0.22078717201166181,89.94169096209913
Maximiliano Montes,2003-09-01,Maximiliano Montes|2003-09-01,Ohio State,F,37,4,"5'9""",174,Left,,Offense,Goals,0.41,0.2086551724137931,91.7816091954023,2025-26,37,26.0,15.0,11.0,,0.22078717201166181,89.94169096209913
Eric Pohlkamp,2004-03-23,Eric Pohlkamp|2004-03-23,Denver,D,44,4,"5'11""",205,Right,,Offense,Goals,0.41,0.0907297297297297,99.86486486486488,2025-26,44,40.0,18.0,22.0,,0.09414473684210528,99.67105263157895
Matthew DeBoer,2002-09-01,Matthew DeBoer|2002-09-01,Holy Cross,F,32,5,"6'0""",185,Right,,Offense,Goals,0.41,0.2086551724137931,91.7816091954023,2025-26,32,23.0,13.0,10.0,,0.22078717201166181,89.94169096209913
Jeremy Wilmer,2003-08-16,Jeremy Wilmer|2003-08-16,Quinnipiac,F,15,5,"5'8""",154,Left,,Offense,Goals,0.4,0.2086551724137931,90.91954022988506,2025-26,15,13.0,6.0,7.0,,0.22078717201166181,88.92128279883383
Tristan Lemyre,2001-01-15,Tristan Lemyre|2001-01-15,Minnesota State,F,40,5,"5'9""",170,Right,,Offense,Goals,0.4,0.2086551724137931,90.91954022988506,2025-26,40,35.0,16.0,19.0,,0.22078717201166181,88.92128279883383
Christian Fitzgerald,2002-05-31,Christian Fitzgerald|2002-05-31,Wisconsin,F,40,5,"6'0""",174,Left,,Offense,Goals,0.4,0.2086551724137931,90.91954022988506,2025-26,40,31.0,16.0,15.0,,0.22078717201166181,88.92128279883383
Jake Braccini,2001-07-02,Jake Braccini|2001-07-02,St. Thomas,F,35,5,"5'11""",192,Left,,Offense,Goals,0.4,0.2086551724137931,90.91954022988506,2025-26,35,23.0,14.0,9.0,,0.22078717201166181,88.92128279883383
Tanner Klimpke,2002-12-13,Tanner Klimpke|2002-12-13,Robert Morris,F,41,4,"6'2""",174,Left,,Offense,Goals,0.39,0.2086551724137931,90.17241379310344,2025-26,41,31.0,16.0,15.0,,0.22078717201166181,87.60932944606414
Brody Lamb,2003-08-30,Brody Lamb|2003-08-30,Minnesota,F,36,5,"6'1""",165,Right,,Offense,Goals,0.39,0.2086551724137931,90.17241379310344,2025-26,36,29.0,14.0,15.0,,0.22078717201166181,87.60932944606414
Rieger Lorenz,2004-03-30,Rieger Lorenz|2004-03-30,Denver,F,44,5,"6'2""",194,Left,,Offense,Goals,0.39,0.2086551724137931,90.17241379310344,2025-26,44,35.0,17.0,18.0,,0.22078717201166181,87.60932944606414
Jack Harvey,2003-03-31,Jack Harvey|2003-03-31,Boston University,F,38,4,"5'10""",176,Left,,Offense,Goals,0.39,0.2086551724137931,90.17241379310344,2025-26,38,23.0,15.0,8.0,,0.22078717201166181,87.60932944606414
Chase Dafoe,2002-02-25,Chase Dafoe|2002-02-25,Alaska,F,33,4,"6'3""",201,Left,,Offense,Goals,0.39,0.2086551724137931,90.17241379310344,2025-26,33,22.0,13.0,9.0,,0.22078717201166181,87.60932944606414
Nicholas Moldenhauer,2004-05-25,Nicholas Moldenhauer|2004-05-25,Michigan,F,42,4,"5'10""",170,Right,,Offense,Goals,0.38,0.2086551724137931,89.48275862068965,2025-26,42,32.0,16.0,16.0,,0.22078717201166181,86.58892128279884
Reid Pabich,2001-10-05,Reid Pabich|2001-10-05,Sacred Heart,F,40,5,"5'11""",181,Right,,Offense,Goals,0.38,0.2086551724137931,89.48275862068965,2025-26,40,31.0,15.0,16.0,,0.22078717201166181,86.58892128279884
Jack Stockfish,2002-09-30,Jack Stockfish|2002-09-30,Holy Cross,F,38,4,"6'4""",216,Right,,Offense,Goals,0.37,0.2086551724137931,88.44827586206897,2025-26,38,34.0,14.0,20.0,,0.22078717201166181,85.27696793002916
Grant Porter,2002-02-21,Grant Porter|2002-02-21,Canisius,F,35,4,"5'11""",181,Right,,Offense,Goals,0.37,0.2086551724137931,88.44827586206897,2025-26,35,35.0,13.0,22.0,,0.22078717201166181,85.27696793002916
Scout Truman,2002-10-15,Scout Truman|2002-10-15,Minnesota Duluth,F,38,5,"5'10""",174,Left,,Offense,Goals,0.37,0.2086551724137931,88.44827586206897,2025-26,38,21.0,14.0,7.0,,0.22078717201166181,85.27696793002916
Garrett Schifsky,2003-04-08,Garrett Schifsky|2003-04-08,Michigan,F,41,4,"5'9""",174,Right,,Offense,Goals,0.37,0.2086551724137931,88.44827586206897,2025-26,41,26.0,15.0,11.0,,0.22078717201166181,85.27696793002916
Bennett Schimek,2003-04-15,Bennett Schimek|2003-04-15,Arizona State,F,35,5,"6'0""",187,Right,,Offense,Goals,0.37,0.2086551724137931,88.44827586206897,2025-26,35,42.0,13.0,29.0,,0.22078717201166181,85.27696793002916
Brendan Gorman,2003-02-17,Brendan Gorman|2003-02-17,Princeton,F,35,5,"5'11""",150,Right,,Offense,Goals,0.37,0.2086551724137931,88.44827586206897,2025-26,35,23.0,13.0,10.0,,0.22078717201166181,85.27696793002916
Jay Ahearn,2001-05-25,Jay Ahearn|2001-05-25,UMass-Lowell,F,35,5,"5'11""",170,Left,,Offense,Goals,0.37,0.2086551724137931,88.44827586206897,2025-26,35,18.0,13.0,5.0,,0.22078717201166181,85.27696793002916
Adam Eisele,2001-07-11,Adam Eisele|2001-07-11,Ohio State,F,36,5,"6'1""",185,Right,,Offense,Goals,0.36,0.2086551724137931,87.47126436781609,2025-26,36,20.0,13.0,7.0,,0.22078717201166181,84.11078717201165
Brett Meerman,2002-02-04,Brett Meerman|2002-02-04,Augustana,F,37,4,"5'9""",170,Left,,Offense,Goals,0.35,0.2086551724137931,86.55172413793103,2025-26,37,26.0,13.0,13.0,,0.22078717201166181,83.23615160349854
Simon Tassy,2001-03-21,Simon Tassy|2001-03-21,Wisconsin,F,40,5,"6'1""",185,Right,,Offense,Goals,0.35,0.2086551724137931,86.55172413793103,2025-26,40,23.0,14.0,9.0,,0.22078717201166181,83.23615160349854
Joshua Eernisse,2001-12-31,Joshua Eernisse|2001-12-31,Michigan,F,40,5,"6'3""",205,Right,,Offense,Goals,0.35,0.2086551724137931,86.55172413793103,2025-26,40,22.0,14.0,8.0,,0.22078717201166181,83.23615160349854
Riley Thompson,2002-08-17,Riley Thompson|2002-08-17,Ohio State,F,37,4,"6'4""",201,Left,,Offense,Goals,0.35,0.2086551724137931,86.55172413793103,2025-26,37,27.0,13.0,14.0,,0.22078717201166181,83.23615160349854
Sutter Muzzatti,2003-06-28,Sutter Muzzatti|2003-06-28,Notre Dame,F,37,4,"6'6""",229,Left,,Offense,Goals,0.35,0.2086551724137931,86.55172413793103,2025-26,37,32.0,13.0,19.0,,0.22078717201166181,83.23615160349854
Ryan Tattle,2001-09-07,Ryan Tattle|2001-09-07,UConn,F,38,5,"5'10""",179,Left,,Offense,Goals,0.34,0.2086551724137931,85.28735632183908,2025-26,38,31.0,13.0,18.0,,0.22078717201166181,81.4868804664723
Josh Zary,2001-10-15,Josh Zary|2001-10-15,Ferris State,F,38,5,"6'1""",190,Left,,Offense,Goals,0.34,0.2086551724137931,85.28735632183908,2025-26,38,18.0,13.0,5.0,,0.22078717201166181,81.4868804664723
Colby MacArthur,2001-11-02,Colby MacArthur|2001-11-02,Union,F,35,5,"6'3""",185,Right,,Offense,Goals,0.34,0.2086551724137931,85.28735632183908,2025-26,35,31.0,12.0,19.0,,0.22078717201166181,81.4868804664723
Owen Fowler,2002-06-04,Owen Fowler|2002-06-04,Maine,F,35,4,"5'10""",190,Left,,Offense,Goals,0.34,0.2086551724137931,85.28735632183908,2025-26,35,21.0,12.0,9.0,,0.22078717201166181,81.4868804664723
Joseph Grainda,2002-08-01,Joseph Grainda|2002-08-01,Stonehill,F,38,4,"6'3""",190,Left,,Offense,Goals,0.34,0.2086551724137931,85.28735632183908,2025-26,38,19.0,13.0,6.0,,0.22078717201166181,81.4868804664723
Aiden Fink,2004-11-24,Aiden Fink|2004-11-24,Penn State,F,29,4,"5'10""",161,Right,,Offense,Goals,0.34,0.2086551724137931,85.28735632183908,2025-26,29,38.0,10.0,28.0,,0.22078717201166181,81.4868804664723
Max Koskipirtti,2004-08-16,Max Koskipirtti|2004-08-16,Michigan Tech,F,38,4,"6'0""",181,Left,,Offense,Goals,0.34,0.2086551724137931,85.28735632183908,2025-26,38,33.0,13.0,20.0,,0.22078717201166181,81.4868804664723
Simon Labelle,2002-09-03,Simon Labelle|2002-09-03,Colgate,F,36,5,"6'0""",176,Left,,Offense,Goals,0.33,0.2086551724137931,84.02298850574714,2025-26,36,28.0,12.0,16.0,,0.22078717201166181,79.44606413994168
Alexander Malinowski,2001-02-07,Alexander Malinowski|2001-02-07,Alaska,F,30,5,"5'11""",187,Left,,Offense,Goals,0.33,0.2086551724137931,84.02298850574714,2025-26,30,17.0,10.0,7.0,,0.22078717201166181,79.44606413994168
Tommi Mannisto,2004-02-07,Tommi Mannisto|2004-02-07,Michigan State,F,39,4,"6'0""",194,Left,,Offense,Goals,0.33,0.2086551724137931,84.02298850574714,2025-26,39,22.0,13.0,9.0,,0.22078717201166181,79.44606413994168
Morgan Winters,2001-12-08,Morgan Winters|2001-12-08,New Hampshire,F,33,5,"5'11""",165,Left,,Offense,Goals,0.33,0.2086551724137931,84.02298850574714,2025-26,33,22.0,11.0,11.0,,0.22078717201166181,79.44606413994168
Reese Laubach,2003-11-20,Reese Laubach|2003-11-20,Penn State,F,36,4,"6'0""",170,Right,,Offense,Goals,0.33,0.2086551724137931,84.02298850574714,2025-26,36,27.0,12.0,15.0,,0.22078717201166181,79.44606413994168
Dane Dowiak,2002-03-27,Dane Dowiak|2002-03-27,Penn State,F,27,4,"6'1""",181,Left,,Offense,Goals,0.33,0.2086551724137931,84.02298850574714,2025-26,27,18.0,9.0,9.0,,0.22078717201166181,79.44606413994168
Stiven Sardarian,2003-02-07,Stiven Sardarian|2003-02-07,Michigan Tech,F,36,5,"6'1""",157,Left,,Offense,Goals,0.33,0.2086551724137931,84.02298850574714,2025-26,36,43.0,12.0,31.0,,0.22078717201166181,79.44606413994168
Owen Michaels,2002-05-01,Owen Michaels|2002-05-01,Western Michigan,F,40,4,"6'2""",179,Right,,Offense,Goals,0.32,0.2086551724137931,82.58620689655173,2025-26,40,28.0,13.0,15.0,,0.22078717201166181,77.40524781341108
Ryan Walsh,2003-08-25,Ryan Walsh|2003-08-25,Cornell,F,34,4,"6'0""",181,Right,,Offense,Goals,0.32,0.2086551724137931,82.58620689655173,2025-26,34,34.0,11.0,23.0,,0.22078717201166181,77.40524781341108
Colton Friesen,2001-12-09,Colton Friesen|2001-12-09,Augustana,F,38,4,"5'11""",181,Left,,Offense,Goals,0.32,0.2086551724137931,82.58620689655173,2025-26,38,26.0,12.0,14.0,,0.22078717201166181,77.40524781341108
Davis Burnside,2003-09-22,Davis Burnside|2003-09-22,Ohio State,F,37,5,"6'0""",185,Right,,Offense,Goals,0.32,0.2086551724137931,82.58620689655173,2025-26,37,32.0,12.0,20.0,,0.22078717201166181,77.40524781341108
Philip Tresca,2002-04-10,Philip Tresca|2002-04-10,Harvard,F,31,5,"6'0""",194,Right,,Offense,Goals,0.32,0.2086551724137931,82.58620689655173,2025-26,31,21.0,10.0,11.0,,0.22078717201166181,77.40524781341108
Tyler Dunbar,2003-12-18,Tyler Dunbar|2003-12-18,Union,D,37,4,"6'1""",198,Left,,Offense,Goals,0.32,0.0907297297297297,99.1891891891892,2025-26,37,31.0,12.0,19.0,,0.09414473684210528,98.68421052631578
Tyler Hotson,2003-03-17,Tyler Hotson|2003-03-17,Bowling Green,F,38,4,"6'0""",181,Left,,Offense,Goals,0.32,0.2086551724137931,82.58620689655173,2025-26,38,25.0,12.0,13.0,,0.22078717201166181,77.40524781341108
Reilly Funk,2000-12-23,Reilly Funk|2000-12-23,Bemidji State,F,37,5,"6'3""",209,Left,,Offense,Goals,0.32,0.2086551724137931,82.58620689655173,2025-26,37,21.0,12.0,9.0,,0.22078717201166181,77.40524781341108
Chris Hedden,2002-09-20,Chris Hedden|2002-09-20,Air Force Falcons,D,37,5,"6'0""",185,Left,,Offense,Goals,0.32,0.0907297297297297,99.1891891891892,2025-26,37,31.0,12.0,19.0,,0.09414473684210528,98.68421052631578
Gavin Best,2001-08-24,Gavin Best|2001-08-24,Ferris State,F,39,4,"6'2""",190,Left,,Offense,Goals,0.31,0.2086551724137931,80.63218390804597,2025-26,39,27.0,12.0,15.0,,0.22078717201166181,75.0728862973761
Hudson Malinoski,2004-05-19,Hudson Malinoski|2004-05-19,Providence,F,36,4,"6'1""",174,Left,,Offense,Goals,0.31,0.2086551724137931,80.63218390804597,2025-26,36,15.0,11.0,4.0,,0.22078717201166181,75.0728862973761
Nikolas Hong,2002-08-27,Nikolas Hong|2002-08-27,Army West Point,F,35,4,"6'0""",185,Right,,Offense,Goals,0.31,0.2086551724137931,80.63218390804597,2025-26,35,20.0,11.0,9.0,,0.22078717201166181,75.0728862973761
Barrett Hall,2003-12-29,Barrett Hall|2003-12-29,St. Cloud State,F,36,4,"6'0""",104,Left,,Offense,Goals,0.31,0.2086551724137931,80.63218390804597,2025-26,36,28.0,11.0,17.0,,0.22078717201166181,75.0728862973761
Jaxson Ezman,2002-12-22,Jaxson Ezman|2002-12-22,Princeton,F,35,5,"5'0""",104,Left,,Offense,Goals,0.31,0.2086551724137931,80.63218390804597,2025-26,35,22.0,11.0,11.0,,0.22078717201166181,75.0728862973761
Tanner Adams,2005-09-02,Tanner Adams|2005-09-02,Providence,F,36,4,"5'11""",194,Right,,Offense,Goals,0.31,0.2086551724137931,80.63218390804597,2025-26,36,23.0,11.0,12.0,,0.22078717201166181,75.0728862973761
Rhys Chiddenton,2003-05-23,Rhys Chiddenton|2003-05-23,Canisius,F,35,4,"6'0""",183,Left,,Offense,Goals,0.31,0.2086551724137931,80.63218390804597,2025-26,35,21.0,11.0,10.0,,0.22078717201166181,75.0728862973761
Danny Nelson,2005-08-03,Danny Nelson|2005-08-03,Notre Dame,F,36,4,"6'3""",212,Left,,Offense,Goals,0.31,0.2086551724137931,80.63218390804597,2025-26,36,28.0,11.0,17.0,,0.22078717201166181,75.0728862973761
Nick Ring,2003-10-26,Nick Ring|2003-10-26,New Hampshire,F,36,4,"5'10""",181,Right,,Offense,Goals,0.31,0.2086551724137931,80.63218390804597,2025-26,36,23.0,11.0,12.0,,0.22078717201166181,75.0728862973761
Parker Lindauer,2001-05-17,Parker Lindauer|2001-05-17,Union,F,37,5,"5'11""",181,Left,,Offense,Goals,0.3,0.2086551724137931,78.96551724137932,2025-26,37,34.0,11.0,23.0,,0.22078717201166181,73.03206997084548
Klavs Veinbergs,2003-03-27,Klavs Veinbergs|2003-03-27,Colorado College,F,37,4,"6'3""",198,Left,,Offense,Goals,0.3,0.2086551724137931,78.96551724137932,2025-26,37,22.0,11.0,11.0,,0.22078717201166181,73.03206997084548
Ryan St. Louis,2003-06-13,Ryan St. Louis|2003-06-13,Brown,F,30,5,"5'9""",170,Left,,Offense,Goals,0.3,0.2086551724137931,78.96551724137932,2025-26,30,16.0,9.0,7.0,,0.22078717201166181,73.03206997084548
Kasper Magnussen,2004-02-19,Kasper Magnussen|2004-02-19,Bemidji State,F,37,4,"6'0""",196,Left,,Offense,Goals,0.3,0.2086551724137931,78.96551724137932,2025-26,37,32.0,11.0,21.0,,0.22078717201166181,73.03206997084548
Michael Abgrall,2003-10-25,Michael Abgrall|2003-10-25,Holy Cross,F,37,5,"5'11""",172,Left,,Offense,Goals,0.3,0.2086551724137931,78.96551724137932,2025-26,37,23.0,11.0,12.0,,0.22078717201166181,73.03206997084548
Josh Karnish,2003-08-07,Josh Karnish|2003-08-07,Princeton,F,21,4,"5'11""",174,Right,,Offense,Goals,0.29,0.2086551724137931,77.52873563218391,2025-26,21,6.0,6.0,,,0.22078717201166181,71.28279883381924
Doug Grimes,2002-04-18,Doug Grimes|2002-04-18,Miami,F,34,4,"6'3""",201,Right,,Offense,Goals,0.29,0.2086551724137931,77.52873563218391,2025-26,34,18.0,10.0,8.0,,0.22078717201166181,71.28279883381924
Noah Hackett,2001-12-11,Noah Hackett|2001-12-11,Niagara,F,38,4,"6'1""",174,Right,,Offense,Goals,0.29,0.2086551724137931,77.52873563218391,2025-26,38,18.0,11.0,7.0,,0.22078717201166181,71.28279883381924
David Jacobs,2001-09-26,David Jacobs|2001-09-26,Princeton,F,35,5,"5'9""",165,Right,,Offense,Goals,0.29,0.2086551724137931,77.52873563218391,2025-26,35,36.0,10.0,26.0,,0.22078717201166181,71.28279883381924
Cameron Garvey,2002-07-23,Cameron Garvey|2002-07-23,Robert Morris,F,41,4,"6'0""",181,Left,,Offense,Goals,0.29,0.2086551724137931,77.52873563218391,2025-26,41,26.0,12.0,14.0,,0.22078717201166181,71.28279883381924
Tyler Cristall,2002-05-13,Tyler Cristall|2002-05-13,St. Lawrence,F,35,5,"5'9""",170,Left,,Offense,Goals,0.29,0.2086551724137931,77.52873563218391,2025-26,35,31.0,10.0,21.0,,0.22078717201166181,71.28279883381924
Jake Richard,2004-08-01,Jake Richard|2004-08-01,UConn,F,38,4,"6'1""",194,Right,,Offense,Goals,0.29,0.2086551724137931,77.52873563218391,2025-26,38,28.0,11.0,17.0,,0.22078717201166181,71.28279883381924
Max Helgeson,2000-12-05,Max Helgeson|2000-12-05,Miami,F,36,5,"6'1""",185,Right,,Offense,Goals,0.28,0.2086551724137931,75.40229885057471,2025-26,36,21.0,10.0,11.0,,0.22078717201166181,68.22157434402332
Tyler Mahan,2001-12-14,Tyler Mahan|2001-12-14,RIT,F,25,5,"6'0""",190,Left,,Offense,Goals,0.28,0.2086551724137931,75.40229885057471,2025-26,25,9.0,7.0,2.0,,0.22078717201166181,68.22157434402332
Grant Slukynsky,2002-03-12,Grant Slukynsky|2002-03-12,Western Michigan,F,40,4,"6'1""",198,Left,,Offense,Goals,0.28,0.2086551724137931,75.40229885057471,2025-26,40,41.0,11.0,30.0,,0.22078717201166181,68.22157434402332
Jake Southgate,2002-11-04,Jake Southgate|2002-11-04,Lindenwood,F,32,4,"5'11""",185,Left,,Offense,Goals,0.28,0.2086551724137931,75.40229885057471,2025-26,32,25.0,9.0,16.0,,0.22078717201166181,68.22157434402332
Christian Catalano,2003-05-23,Christian Catalano|2003-05-23,RIT,F,36,4,"6'1""",190,Right,,Offense,Goals,0.28,0.2086551724137931,75.40229885057471,2025-26,36,21.0,10.0,11.0,,0.22078717201166181,68.22157434402332
Cole Knuble,2004-07-01,Cole Knuble|2004-07-01,Notre Dame,F,36,4,"5'11""",185,Right,,Offense,Goals,0.28,0.2086551724137931,75.40229885057471,2025-26,36,31.0,10.0,21.0,,0.22078717201166181,68.22157434402332
Luigi Benincasa,2002-10-07,Luigi Benincasa|2002-10-07,Minnesota State,F,40,4,"5'9""",157,Right,,Offense,Goals,0.28,0.2086551724137931,75.40229885057471,2025-26,40,28.0,11.0,17.0,,0.22078717201166181,68.22157434402332
Evan Murr,2003-02-27,Evan Murr|2003-02-27,Minnesota State,D,40,4,"5'11""",179,Right,,Offense,Goals,0.28,0.0907297297297297,98.24324324324324,2025-26,40,31.0,11.0,20.0,,0.09414473684210528,97.69736842105263
